"Date","Year","Month","Day","Game_Type","Dow","Away_Team","Away_League","Away_Game_Number","Home_Team","Home_League","Home_Game_Number","Away_Score","Home_Score","Home_Away_Winner","Team_Winner","Game_Outs","Day_Night","Completion_Info","Forfeit_Info","Protest_Info","ParkID","Attendance","Game_Length","Away_Line","Home_Line","Away_AB","Away_H","Away_2B","Away_3B","Away_HR","Away_RBI","Away_SAC","Away_SF","Away_HBP","Away_BB","Away_IBB","Away_K","Away_SB","Away_CS","Away_GIDP","Away_CI","Away_LOB","Away_Pitchers","Away_ER","Away_WP","Away_BLK","Away_PO","Away_A","Away_E","Away_PB","Away_DP","Away_TP","Home_AB","Home_H","Home_2B","Home_3B","Home_HR","Home_RBI","Home_SAC","Home_SF","Home_HBP","Home_BB","Home_IBB","Home_K","Home_SB","Home_CS","Home_GIDP","Home_CI","Home_LOB","Home_Pitchers","Home_ER","Home_WP","Home_BLK","Home_PO","Home_A","Home_E","Home_PB","Home_DP","Home_TP","HP_Ump_ID","HP_Ump_Name","X1B_Ump_ID","X1B_Ump_Name","X2B_Ump_ID","X2B_Ump_Name","X3B_Ump_ID","X3B_Ump_Name","LF_Ump_ID","LF_Ump_Name","RF_Ump_ID","RF_Ump_Name","Away_Manage_ID","Away_Manage_Name","Home_Manage_ID","Home_Manage_Name","Winning_Pitcher_ID","Winning_Pitcher_Name","Losing_Pitcher_ID","Losing_Pitcher_Name","Save","Save_Pitcher_ID","Save_Pitcher_Name","GWRBI_ID","GWRBI_Name","Away_SP_ID","Away_SP_Name","Home_SP_ID","Home_SP_Name","Away_Win_Percentage","Away_Playoffs","Away_WS","Away_Win_P_Cat","Team","Home_Win_Percentage","Home_Playoffs","Home_WS","Home_Win_P_Cat","Away_SP_WAR","Home_SP_WAR","Home","MON_win","Opp_Win_Percentage","Opp_Playoffs","Opp_WS","Opp_Win_P_Cat"
20040406,2004,4,6,0,"Tue","MON","NL",1,"MIA","NL",1,3,4,"Home","MIA",51,"D",NA,"","","MIA01",55315,169,"1011","02000002x",35,8,3,"0",1,3,0,0,0,5,0,11,0,0,0,0,10,3,4,0,0,24,5,1,0,1,0,33,10,1,0,1,4,0,0,0,2,0,11,0,0,1,0,7,4,3,0,0,27,5,0,0,0,0,"froeb901","Bruce Froemming","hudsm901","Marvin Hudson","wendh902","Hunter Wendelstedt","timmt901","Tim Timmons","","(none)","","(none)","robif103","Frank Robinson","mckej801","Jack McKeon","perim001","Matt Perisho","ayall001","Luis Ayala","Save","benia001","Armando Benitez","choih001","Hee-Seop Choi","hernl003","Livan Hernandez","beckj002","Josh Beckett",0.414,0,0,"Bad","Florida Marlins",0.512,0,0,"Good",4.9,1.9,0,0,0.512,0,0,"Good"
20040407,2004,4,7,0,"Wed","MON","NL",2,"MIA","NL",2,3,2,"Away","MON",54,"N",NA,"","","MIA01",17622,151,"200001000","100010",31,5,0,"0",2,3,0,0,0,2,0,7,0,0,1,0,3,5,1,0,0,27,8,1,0,1,0,33,6,2,0,1,2,0,0,0,3,0,6,0,0,1,0,7,3,3,0,0,27,11,0,0,1,0,"hudsm901","Marvin Hudson","wendh902","Hunter Wendelstedt","timmt901","Tim Timmons","froeb901","Bruce Froemming","","(none)","","(none)","robif103","Frank Robinson","mckej801","Jack McKeon","vargc001","Claudio Vargas","pennb002","Brad Penny","Save","biddr001","Rocky Biddle","everc001","Carl Everett","vargc001","Claudio Vargas","pennb002","Brad Penny",0.414,0,0,"Bad","Florida Marlins",0.512,0,0,"Good",-0.5,2.8,0,1,0.512,0,0,"Good"
20040408,2004,4,8,0,"Thu","MON","NL",3,"MIA","NL",3,0,3,"Home","MIA",51,"N",NA,"","","MIA01",18121,149,"0","01002000x",32,5,1,"0",0,0,0,0,1,1,0,9,0,0,0,0,7,3,3,0,0,24,6,0,0,1,0,34,11,1,0,1,3,0,0,0,1,0,4,0,0,1,0,8,3,0,0,0,27,4,0,0,0,0,"wendh902","Hunter Wendelstedt","timmt901","Tim Timmons","froeb901","Bruce Froemming","hudsm901","Marvin Hudson","","(none)","","(none)","robif103","Frank Robinson","mckej801","Jack McKeon","willd003","Dontrelle Willis","ohkat001","Tomo Ohka","Save","benia001","Armando Benitez","lowem001","Mike Lowell","ohkat001","Tomo Ohka","willd003","Dontrelle Willis",0.414,0,0,"Bad","Florida Marlins",0.512,0,0,"Good",1,1.3,0,0,0.512,0,0,"Good"
20040409,2004,4,9,0,"Fri","NYN","NL",4,"MON","NL",4,3,2,"Away","NYN",66,"N",NA,"","","SJU01",14739,224,"10010000001","2000",38,8,2,"0",1,3,0,0,3,8,1,11,0,1,1,0,13,5,2,0,0,33,12,0,0,1,0,39,8,1,0,0,2,1,0,0,4,1,8,1,0,1,0,9,4,3,0,0,33,14,0,0,1,0,"drakr901","Rob Drake","kellk901","Kevin Kelley","mcclt901","Tim McClelland","culbf901","Fieldin Culbreth","","(none)","","(none)","howea001","Art Howe","robif103","Frank Robinson","weatd001","David Weathers","ayall001","Luis Ayala","Save","moreo002","Orber Moreno","zeilt001","Todd Zeile","yatet001","Tyler Yates","day-z001","Zach Day",0.438,0,0,"Bad","Montreal Expos",0.414,0,0,"Bad",-0.8,1.7,1,0,0.438,0,0,"Bad"
20040410,2004,4,10,0,"Sat","NYN","NL",5,"MON","NL",5,0,1,"Home","MON",51,"N",NA,"","","SJU01",11957,167,"0","00000010x",30,3,2,"0",0,0,0,0,1,1,0,7,2,0,0,0,5,3,1,0,0,24,12,1,0,1,0,29,7,2,0,0,1,1,0,1,1,0,4,0,0,1,0,7,3,0,0,0,27,6,0,0,0,0,"kellk901","Kevin Kelley","mcclt901","Tim McClelland","culbf901","Fieldin Culbreth","drakr901","Rob Drake","","(none)","","(none)","howea001","Art Howe","robif103","Frank Robinson","pattj004","John Patterson","seo-j001","Jae Weong Seo","Save","biddr001","Rocky Biddle","bergp001","Peter Bergeron","leita001","Al Leiter","pattj004","John Patterson",0.438,0,0,"Bad","Montreal Expos",0.414,0,0,"Bad",4.9,0.1,1,1,0.438,0,0,"Bad"
20040411,2004,4,11,0,"Sun","NYN","NL",6,"MON","NL",6,4,1,"Away","NYN",54,"D",NA,"","","SJU01",10623,164,"3001","1000000",33,8,1,"0",1,4,1,1,0,2,0,3,0,0,1,0,6,4,0,0,0,27,10,1,0,0,0,31,6,0,0,0,1,1,1,0,2,0,5,0,0,0,0,7,3,3,0,0,27,12,1,0,1,0,"mcclt901","Tim McClelland","culbf901","Fieldin Culbreth","drakr901","Rob Drake","kellk901","Kevin Kelley","","(none)","","(none)","howea001","Art Howe","robif103","Frank Robinson","glavt001","Tom Glavine","hernl003","Livan Hernandez","Save","loopb001","Braden Looper","valee002","Eric Valent","glavt001","Tom Glavine","hernl003","Livan Hernandez",0.438,0,0,"Bad","Montreal Expos",0.414,0,0,"Bad",4,4.9,1,0,0.438,0,0,"Bad"
20040413,2004,4,13,0,"Tue","MIA","NL",7,"MON","NL",7,5,0,"Away","MIA",54,"N",NA,"","","SJU01",14620,144,"101002001","0",33,8,1,"0",2,5,0,0,1,4,0,5,0,1,0,0,6,2,0,0,0,27,9,0,0,2,0,29,4,0,0,0,0,0,0,0,1,0,10,0,1,1,0,3,2,4,0,0,27,13,2,0,2,0,"welkb901","Bill Welke","hirsj901","John Hirschbeck","bellw901","Wally Bell","diazl901","Laz Diaz","","(none)","","(none)","mckej801","Jack McKeon","robif103","Frank Robinson","pennb002","Brad Penny","vargc001","Claudio Vargas","No Save","","(none)","cabrm001","Miguel Cabrera","pennb002","Brad Penny","vargc001","Claudio Vargas",0.512,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",2.8,-0.5,1,0,0.512,0,0,"Good"
20040414,2004,4,14,0,"Wed","MIA","NL",8,"MON","NL",8,9,0,"Away","MIA",54,"N",NA,"","","SJU01",13180,178,"112130010","0",42,15,1,"0",3,9,1,0,0,3,0,6,1,0,0,0,10,4,0,0,0,27,11,0,0,2,0,32,8,0,0,0,0,0,0,0,5,0,6,0,0,2,0,10,5,7,0,0,27,11,1,0,0,0,"hirsj901","John Hirschbeck","bellw901","Wally Bell","diazl901","Laz Diaz","welkb901","Bill Welke","","(none)","","(none)","mckej801","Jack McKeon","robif103","Frank Robinson","willd003","Dontrelle Willis","ohkat001","Tomo Ohka","No Save","","(none)","lowem001","Mike Lowell","willd003","Dontrelle Willis","ohkat001","Tomo Ohka",0.512,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",1.3,1,1,0,0.512,0,0,"Good"
20040415,2004,4,15,0,"Thu","MIA","NL",9,"MON","NL",9,3,0,"Away","MIA",54,"D",NA,"","","SJU01",8494,130,"300000","0",31,6,0,"0",1,3,0,1,0,2,0,3,0,0,1,0,4,3,0,0,0,27,11,0,0,1,0,29,3,0,1,0,0,0,0,0,2,0,6,0,0,1,0,4,3,3,0,0,27,15,0,0,1,0,"bellw901","Wally Bell","diazl901","Laz Diaz","welkb901","Bill Welke","hirsj901","John Hirschbeck","","(none)","","(none)","mckej801","Jack McKeon","robif103","Frank Robinson","pavac001","Carl Pavano","day-z001","Zach Day","Save","benia001","Armando Benitez","lowem001","Mike Lowell","pavac001","Carl Pavano","day-z001","Zach Day",0.512,0,0,"Good","Montreal Expos",0.414,0,0,"Bad",5.3,1.7,1,0,0.512,0,0,"Good"
20040416,2004,4,16,0,"Fri","MON","NL",10,"PHI","NL",9,2,4,"Home","PHI",51,"N",NA,"","","PHI13",39613,149,"10001000","02100001x",32,5,1,"0",1,2,0,0,0,1,0,9,0,0,0,0,4,2,4,0,0,24,8,0,0,2,0,31,9,0,0,2,4,0,0,0,2,0,4,0,0,2,0,5,3,2,0,0,27,7,0,0,0,0,"eddid901","Doug Eddings","iassd901","Dan Iassogna","relic901","Charlie Reliford","kellj901","Jeff Kellogg","","(none)","","(none)","robif103","Frank Robinson","bowal001","Larry Bowa","milte001","Eric Milton","hernl003","Livan Hernandez","Save","wagnb001","Billy Wagner","burrp001","Pat Burrell","hernl003","Livan Hernandez","milte001","Eric Milton",0.414,0,0,"Bad","Philadelphia Phillies",0.531,0,0,"Good",4.9,1.4,0,0,0.531,0,0,"Good"
