"Team","home_win","home_loss","away_win","away_loss","est.Evalue","lower.Evalue"
"ANA",1200,986,1059,1121,1.51336600819513,1.33468626646373
"DET",1075,1113,917,1266,1.61503611232965,1.42065386301814
"KCA",1008,1169,896,1289,1.51098456222809,1.29753357205148
"PHI",1157,1029,1015,1165,1.53108167187983,1.34675532633115
"WAS",716,659,633,745,1.52273696050504,1.28048728778444
"BOS",1255,928,1134,1047,1.44753296042952,1.27090642623982
"CIN",1107,1088,998,1201,1.46282773642098,1.26114934712173
"SDN",1126,1058,969,1218,1.59995594851936,1.41410991242857
"SFN",1214,972,1025,1158,1.64770331662606,1.4760711238419
"SLN",1285,917,1093,1107,1.6274520820177,1.46545463903536
"CLE",1220,957,1096,1087,1.47636012170344,1.29819224729875
"HOU",1225,981,1066,1136,1.55780578110105,1.38487385344681
"MIA",1108,1062,924,1267,1.71586200887456,1.52905979188922
"MIL",1151,1046,981,1209,1.61486639900007,1.43278555925311
"ARI",1022,926,901,1045,1.52153047859589,1.3227357145807
"NYA",1366,815,1185,1001,1.57909500086075,1.42856833332912
"OAK",1200,985,1017,1168,1.64072269474376,1.46709343770383
"SEA",1160,1035,1031,1148,1.47829251553187,1.28857073609759
"TBA",1025,923,848,1098,1.70802075988613,1.51591687414298
"TEX",1199,983,1004,1177,1.67449397526898,1.50106628808026
"ATL",1292,892,1152,1029,1.48657165544912,1.32051231067942
"BAL",1099,1089,970,1229,1.53607649092581,1.34213574600555
"CHA",1142,1038,995,1188,1.56358142466755,1.37897914491266
"MIN",1136,1052,995,1188,1.53715503811369,1.34951413868894
"TOR",1164,1021,1001,1182,1.59529695986546,1.41525083709593
"CHN",1161,1027,1001,1184,1.58637709970049,1.40551358407288
"COL",1188,995,855,1327,2.12370557289439,1.92997131865629
"LAN",1282,901,1132,1050,1.51852778425564,1.35348242898905
"NYN",1169,1013,1032,1152,1.52326424633812,1.34058976416647
"PIT",1100,1093,888,1310,1.78920867679666,1.59864748306011
